,Unnamed: 0,ID_DELEGACIA,NOME_DEPARTAMENTO,NOME_SECCIONAL,NOME_DELEGACIA,NOME_MUNICIPIO,ANO_BO,NUM_BO,VERSAO,NOME_DEPARTAMENTO_CIRC,NOME_SECCIONAL_CIRC,NOME_DELEGACIA_CIRC,NOME_MUNICIPIO_CIRC,DATA_OCORRENCIA_BO,HORA_OCORRENCIA,DESCRICAO_APRESENTACAO,DATAHORA_REGISTRO_BO,DATA_COMUNICACAO_BO,DATAHORA_IMPRESSAO_BO,DESCR_PERIODO,AUTORIA_BO,FLAG_INTOLERANCIA,TIPO_INTOLERANCIA,FLAG_FLAGRANTE,FLAG_STATUS,DESC_LEI,FLAG_ATO_INFRACIONAL,RUBRICA,DESCR_CONDUTA,DESDOBRAMENTO,CIRCUNSTANCIA,DESCR_TIPOLOCAL,DESCR_SUBTIPOLOCAL,CIDADE,BAIRRO,CEP,LOGRADOURO_VERSAO,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,CONT_OBJETO,DESCR_MODO_OBJETO,DESCR_TIPO_OBJETO,DESCR_SUBTIPO_OBJETO,DESCR_UNIDADE,QUANTIDADE_OBJETO,MARCA_OBJETO,FLAG_BLOQUEIO,FLAG_DESBLOQUEIO,MES,ANO,PERIODO_DO_DIA
0,0,900023,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 3,RIBEIRAO PRETO,2023,AI6605,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,01º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-01-07,17:00:00,Pela Parte Interessada,2023-01-09,2023-01-09,2023-01-09,,D,N,,N,CONSUMADO,Código Penal,N,Furto (art. 155),Outros,,,Via Pública,Via Pública,RIBEIRAO PRETO,CENTRO,14015040.0,1,RUA SÃO SEBASTIÃO,698.0,-21.1773284182157,-47.8081659465882,1002569081,Subtraído,Telecomunicação,Telefone Celular,,1,Motorola,N,N,1,2023,Tarde
1,1,100919,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,CPJ RIBEIRAO PRETO,RIBEIRAO PRETO,2023,AL6985,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,01º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-01-11,,Por Integrantes da Polícia Militar,2023-01-11,2023-01-11,2023-01-11,De madrugada,C,N,,S,CONSUMADO,Código Penal,N,Roubo (art. 157),Transeunte,,"§ 2º, II - há concurso de duas ou mais pessoas",Comércio e Serviços,Posto de Gasolina,RIBEIRAO PRETO,CENTRO,14015010.0,1,RUA MARIANA JUNQUEIRA,52.0,-21.17395621,-47.8077521499999,1002593784,Subtraído,Telecomunicação,Telefone Celular,Unidade,1,Motorola,,,1,2023,
2,2,100919,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,CPJ RIBEIRAO PRETO,RIBEIRAO PRETO,2023,AL8902,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,01º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-01-11,06:20:00,Pela Parte Interessada,2023-01-11,2023-01-11,2023-01-11,,D,N,,N,CONSUMADO,Código Penal,N,Roubo (art. 157),Transeunte,,,Via Pública,Via Pública,RIBEIRAO PRETO,JD SUMARE,14025160.0,1,RUA COMANDANTE MARCONDES SALGADO,1726.0,-21.1846840059999,-47.8119896599999,1002594406,Subtraído,Telecomunicação,Telefone Celular,Unidade,1,Samsung,S,N,1,2023,Manhã
3,3,100462,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.S. JOAQUIM DA BARRA,DEL.INV.GER. S. JOAQUIM BARRA,RIBEIRAO PRETO,2023,AM3521,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,01º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-01-10,17:50:03,Pela Parte Interessada,2023-01-11,2023-01-11,2023-01-11,,D,N,,N,CONSUMADO,Código Penal,N,Roubo (art. 157),Transeunte,,"§ 2ºA, I - Se a violência ou ameaça é exercida com emprego de arma de fogo ",Via Pública,Via Pública,RIBEIRAO PRETO,CENTRO,12501030.0,1,RUA DUQUE DE CAXIAS,761.0,-21.1763093,-47.8063603,1002597701,Subtraído,Telecomunicação,Telefone Celular,Unidade,1,Samsung,,,1,2023,Tarde
4,4,100462,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.S. JOAQUIM DA BARRA,DEL.INV.GER. S. JOAQUIM BARRA,RIBEIRAO PRETO,2023,AM3521,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,01º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-01-10,17:50:03,Pela Parte Interessada,2023-01-11,2023-01-11,2023-01-11,,D,N,,N,CONSUMADO,Código Penal,N,Roubo (art. 157),Transeunte,,"§ 2º, II - há concurso de duas ou mais pessoas",Via Pública,Via Pública,RIBEIRAO PRETO,CENTRO,12501030.0,1,RUA DUQUE DE CAXIAS,761.0,-21.1763093,-47.8063603,1002597701,Subtraído,Telecomunicação,Telefone Celular,Unidade,1,Samsung,,,1,2023,Tarde
5,5,100462,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.S. JOAQUIM DA BARRA,DEL.INV.GER. S. JOAQUIM BARRA,RIBEIRAO PRETO,2023,AM3521,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,01º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-01-10,17:50:03,Pela Parte Interessada,2023-01-11,2023-01-11,2023-01-11,,D,N,,N,CONSUMADO,Código Penal,N,Roubo (art. 157),Transeunte,,"§ 2º, VII - se a violência ou grave ameaça é exercida com emprego de arma branca ",Via Pública,Via Pública,RIBEIRAO PRETO,CENTRO,12501030.0,1,RUA DUQUE DE CAXIAS,761.0,-21.1763093,-47.8063603,1002597701,Subtraído,Telecomunicação,Telefone Celular,Unidade,1,Samsung,,,1,2023,Tarde
6,6,100462,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.S. JOAQUIM DA BARRA,DEL.INV.GER. S. JOAQUIM BARRA,RIBEIRAO PRETO,2023,AM3521,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,01º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-01-10,17:50:03,Pela Parte Interessada,2023-01-11,2023-01-11,2023-01-11,,D,N,,N,CONSUMADO,Código Penal,N,Roubo (art. 157),Transeunte,,"§ 2º, V - o agente mantém a vítima em seu poder, restringindo sua liberdade",Via Pública,Via Pública,RIBEIRAO PRETO,CENTRO,12501030.0,1,RUA DUQUE DE CAXIAS,761.0,-21.1763093,-47.8063603,1002597701,Subtraído,Telecomunicação,Telefone Celular,Unidade,1,Samsung,,,1,2023,Tarde
7,7,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,RIBEIRAO PRETO,2023,AP7167,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,01º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-01-12,23:45:00,Pela Parte Interessada,2023-01-14,2023-01-13,2023-01-14,,D,N,,N,CONSUMADO,Código Penal,N,Roubo (art. 157),Outros,,,,,RIBEIRAO PRETO,CENTRO,14010100.0,1,RUA VISCONDE DE INHAÚMA,1006.0,-21.1801182,-47.8120268,1002622179,Subtraído,Telecomunicação,Telefone Celular,,1,Xiaomi,S,N,1,2023,Noite
8,8,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,RIBEIRAO PRETO,2023,AQ6211,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,01º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2022-12-15,,Pela Parte Interessada,2023-01-15,2023-01-15,2023-01-15,Pela manhã,D,N,,N,CONSUMADO,Código Penal,N,Furto (art. 155),Outros,,,Via Pública,Via Pública,RIBEIRAO PRETO,CENTRO,14010030.0,1,AVENIDA DOUTOR FRANCISCO JUNQUEIRA,726.0,,,1002628263,Subtraído,Telecomunicação,Telefone Celular,,1,LG,S,N,1,2023,
9,9,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,RIBEIRAO PRETO,2023,AQ9093,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,01º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-01-13,,Pela Parte Interessada,2023-01-16,2023-01-14,2023-01-16,A tarde,D,N,,N,CONSUMADO,Não Criminal,N,Perda/Extravio,,,,Via Pública,Via Pública,RIBEIRAO PRETO,CENTRO,14010000.0,1,RUA GENERAL OSÓRIO,78.0,-21.1731391857391,-47.8121987941739,1002631159,Subtraído,Telecomunicação,Telefone Celular,,1,Samsung,N,N,1,2023,
10,10,900023,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 3,RIBEIRAO PRETO,2023,AR0738,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,01º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-01-14,16:50:00,Pela Parte Interessada,2023-01-16,2023-01-16,2023-01-16,,D,N,,N,CONSUMADO,Código Penal,N,Roubo (art. 157),Transeunte,,,Via Pública,Via Pública,RIBEIRAO PRETO,CENTRO,14010040.0,1,ACESSO AVENIDA JERÔNIMO GONÇALVES,100.0,-21.1760485639999,-47.814458449,1002632982,Subtraído,Telecomunicação,Telefone Celular,Unidade,1,Apple,,,1,2023,Tarde
